name,hockeydb,nhl,fhl,hockey-reference
Michael Raffl,93028,DAL,Michael Raffl,Michael Raffl
Phil Kessel,93039,VGK,Phil Kessel,Phil Kessel
Jay Beagle,93172,UTA,Jay Beagle,Jay Beagle
Jeremy Smith,93403,NYI,Jeremy Smith,Jeremy Smith
Jakub Voracek,93546,UTA,Jakub Voráček,Jakub Voráček
Sergei Korostin,93565,UFA,Sergei Korostin,Sergei Korostin
Alexander Vasyunov,93569,UFA,Alexander Vasyunov,Alexander Vasyunov
Pavel Valentenko,93583,UFA,Pavel Valentenko,Pavel Valentenko
Vadim Shipachyov,93584,VGK,Vadim Shipachyov,Vadim Shipachyov
Benn Ferriero,93651,UFA,Benn Ferriero,Benn Ferriero
Ryan Garbutt,93663,UFA,Ryan Garbutt,Ryan Garbutt
Matt Gilroy,93668,UFA,Matt Gilroy,Matt Gilroy
Mark Mitera,93750,UFA,Mark Mitera,Mark Mitera
Matt Taormina,93822,CGY,Matt Taormina,Matt Taormina
Jonathan Toews,93829,WPG,Jonathan Toews,Jonathan Toews
Brandon Bollig,93902,UFA,Brandon Bollig,Brandon Bollig
Sam Gagner,93938,WPG,Sam Gagner,Sam Gagner
Eric Hartzell,93953,UFA,Eric Hartzell,Eric Hartzell
Andy Miele,93987,UFA,Andy Miele,Andy Miele
Kyle Okposo,93992,BUF,Kyle Okposo,Kyle Okposo
Mark Olver,93997,UFA,Mark Olver,Mark Olver
Aaron Palushaj,94000,UFA,Aaron Palushaj,Aaron Palushaj
Nick Petrecki,94004,UFA,Nick Petrecki,Nick Petrecki
Jeff Petry,94006,DET,Jeff Petry,Jeff Petry
Zach Redmond,94013,UFA,Zach Redmond,Zach Redmond
Carl Sneep,94032,UFA,Carl Sneep,Carl Sneep
Corey Tropp,94047,UFA,Corey Tropp,Corey Tropp
Marcel Mueller,94087,UFA,Marcel Mueller,Marcel Mueller
Riku Helenius,94154,UFA,Riku Helenius,Riku Helenius
Antti Niemi,94168,MTL,Antti Niemi,Antti Niemi
Jussi Rynnas,94172,UFA,Jussi Rynnas,Jussi Rynnas
Tyler Myers,94206,VAN,Tyler Myers,Tyler Myers
Justin Fontaine,94378,EDM,Justin Fontaine,Justin Fontaine
Nick Holden,94399,OTT,Nick Holden,Nick Holden
Ben Scrivens,94416,UFA,Ben Scrivens,Ben Scrivens
Taylor Fedun,94459,PIT,Taylor Fedun,Taylor Fedun
Anders Lindback,94541,UFA,Anders Lindback,Anders Lindback
Andreas Engqvist,94546,UFA,Andreas Engqvist,Andreas Engqvist
Joel Gistedt,94552,UFA,Joel Gistedt,Joel Gistedt
Jonas Ahnelov,94553,UFA,Jonas Ahnelov,Jonas Ahnelov
Jonas Junland,94561,UFA,Jonas Junland,Jonas Junland
Carl Gunnarsson,94563,STL,Carl Gunnarsson,Carl Gunnarsson
Linus Omark,94565,UFA,Linus Omark,Linus Omark
Alex Biega,95339,NSH,Alex Biega,Alex Biega
Artem Anisimov,95342,OTT,Artem Anisimov,Artem Anisimov
Arturs Kulda,95343,UFA,Arturs Kulda,Arturs Kulda
Blake Geoffrion,95344,UFA,Blake Geoffrion,Blake Geoffrion
Brian Strait,95348,UFA,Brian Strait,Brian Strait
Chris Summers,95350,UFA,Chris Summers,Chris Summers
Daniel Larsson,95351,UFA,Daniel Larsson,Daniel Larsson
David Fischer,95353,UFA,David Fischer,David Fischer
Dennis Persson,95355,UFA,Dennis Persson,Dennis Persson
Erik Johnson,95359,PHI,Erik Johnson,Erik Johnson
Igor Makarov,95360,UFA,Igor Makarov,Igor Makarov
Jamie McBain,95363,UFA,Jamie McBain,Jamie McBain
Jan Mursak,95364,UFA,Jan Mursak,Jan Mursak
Kaspars Daugavins,95372,UFA,Kaspars Daugavins,Kaspars Daugavins
Michael Ratchuk,95382,UFA,Michael Ratchuk,Michael Ratchuk
Michal Neuvirth,95383,PHI,Michal Neuvirth,Michal Neuvirth
Nigel Williams,95385,UFA,Nigel Williams,Nigel Williams
Nikolai Kulemin,95387,NYI,Nikolai Kulemin,Nikolai Kulemin
Patrik Berglund,95388,BUF,Patrik Berglund,Patrik Berglund
Rhett Rakhshani,95391,UFA,Rhett Rakhshani,Rhett Rakhshani
Richard Bachman,95392,UFA,Richard Bachman,Richard Bachman
David Perron,95960,OTT,David Perron,David Perron
Maxim Goncharov,96277,UFA,Maxim Goncharov,Maxim Goncharov
Viktor Tikhonov,96280,UFA,Viktor Tikhonov,Viktor Tikhonov
Alexei Cherepanov,96288,UFA,Alexei Cherepanov,Alexei Cherepanov
Mark Barberio,96312,COL,Mark Barberio,Mark Barberio
Paul Byron,96329,MTL,Paul Byron,Paul Byron
Maxime Sauve,96358,UFA,Maxime Sauve,Maxime Sauve
Jordan Caron,96371,UFA,Jordan Caron,Jordan Caron
Chris DiDomenico,96387,UFA,Chris DiDomenico,Chris DiDomenico
Yann Sauve,96391,UFA,Yann Sauve,Yann Sauve
T.J. Brennan,96395,CHI,T.J. Brennan,T.J. Brennan
Luke Adam,96396,UFA,Luke Adam,Luke Adam
Mario Kempe,96398,UFA,Mario Kempe,Mario Kempe
Vyacheslav Voynov,96422,UFA,Vyacheslav Voynov,Vyacheslav Voynov
Evgenii Dadonov,96427,DAL,Evgenii Dadonov,Evgenii Dadonov
Nikolai Belov,96446,FLA,Nikolai Belov,Nikolai Belov
Kirill Petrov,96447,UFA,Kirill Petrov,Kirill Petrov
Jori Lehtera,96457,PHI,Jori Lehtera,Jori Lehtera
Joonas Jarvinen,96477,UFA,Joonas Jarvinen,Joonas Jarvinen
Joonas Kemppainen,96482,UFA,Joonas Kemppainen,Joonas Kemppainen
Zach Bogosian,96505,MIN,Zach Bogosian,Zach Bogosian
Robert Bortuzzo,96506,STL,Robert Bortuzzo,Robert Bortuzzo
Tyler Cuma,96518,UFA,Tyler Cuma,Tyler Cuma
Mark Cundari,96519,UFA,Mark Cundari,Mark Cundari
Michael Del Zotto,96525,ANA,Michael Del Zotto,Michael Del Zotto
Luke Gazdic,96535,UFA,Luke Gazdic,Luke Gazdic
Adam Henrique,96544,EDM,Adam Henrique,Adam Henrique
Cody Hodgson,96546,NSH,Cody Hodgson,Cody Hodgson
Michael Hutchinson,96549,CLB,Michael Hutchinson,Michael Hutchinson
Nazem Kadri,96553,CGY,Nazem Kadri,Nazem Kadri
Patrick Kane,96554,DET,Patrick Kane,Patrick Kane
Shawn Lalonde,96558,UFA,Shawn Lalonde,Shawn Lalonde
Brian Lashoff,96561,DET,Brian Lashoff,Brian Lashoff
Thomas McCollum,96573,NSH,Thomas McCollum,Thomas McCollum
Philip McRae,96575,UFA,Philip McRae,Philip McRae
Greg Nemisz,96583,UFA,Greg Nemisz,Greg Nemisz
Alex Pietrangelo,96594,VGK,Alex Pietrangelo,Alex Pietrangelo
Dalton Prout,96596,S.J,Dalton Prout,Dalton Prout
Wayne Simmonds,96604,TOR,Wayne Simmonds,Wayne Simmonds
Jared Staal,96605,UFA,Jared Staal,Jared Staal
Steven Stamkos,96607,NSH,Steven Stamkos,Steven Stamkos
Eric Tangradi,96610,UFA,Eric Tangradi,Eric Tangradi
Craig Cunningham,96636,UFA,Craig Cunningham,Craig Cunningham
Jordan Eberle,96639,SEA,Jordan Eberle,Jordan Eberle
Martin Jones,96659,TOR,Martin Jones,Martin Jones
Brandon McMillan,96673,UFA,Brandon McMillan,Brandon McMillan
Oscar Moller,96676,UFA,Oscar Moller,Oscar Moller
Colby Robak,96685,UFA,Colby Robak,Colby Robak
Michael Stone,96696,CGY,Michael Stone,Michael Stone
Dustin Tokarski,96701,UFA,Dustin Tokarsi,Dustin Tokarski
Jakub Nakladal,96711,UFA,Jakub Nakladal,Jakub Nakladal
Matt Martin,96752,NYI,Matt Martin,Matt Martin
T.J. Brodie,96809,CHI,T.J. Brodie,T.J. Brodie
Lars Johansson,96821,CHI,Lars Johansson,Lars Johansson
Damien Brunner,96871,UFA,Damien Brunner,Damien Brunner
Eric Wellwood,96884,UFA,Eric Wellwood,Eric Wellwood
Kevin Poulin,97433,L.A,Kevin Poulin,Kevin Poulin
Mark Arcobello,97683,UFA,Mark Arcobello,Mark Arcobello
Bobby Butler,97707,UFA,Bobby Butler,Bobby Butler
T.J. Galiardi,97750,UFA,T.J. Galiardi,T.J. Galiardi
Carter Hutton,97772,TOR,Carter Hutton,Carter Hutton
Jim O'Brien,97817,UFA,Jim O'Brien,Jim O'Brien
Steven Oleksy,97820,TOR,Steve Oleksy,Steven Oleksy
Viktor Stalberg,97849,OTT,Viktor Stalberg,Viktor Stalberg
Billy Sweatt,97852,UFA,Billy Sweatt,Billy Sweatt
Tomas Kubalik,97888,UFA,Tomas Kubalik,Tomas Kubalik
Antoine Roussel,97899,UTA,Antoine Roussel,Antoine Roussel
Curtis Hamilton,97920,UFA,Curtis Hamilton,Curtis Hamilton
Edward Pasquale,97936,EDM,Edward Pasquale,Edward Pasquale
Tomas Kundratek,98024,UFA,Tomas Kundratek,Tomas Kundratek
Stefan Elliott,98107,OTT,Stefan Elliott,Stefan Elliott
Brayden McNabb,98196,VGK,Brayden McNabb,Brayden McNabb
Joakim Andersson,98448,UFA,Joakim Andersson,Joakim Andersson
Marcus Johansson,98452,MIN,Marcus Johansson,Marcus Johansson
Ryan Howse,98498,UFA,Ryan Howse,Ryan Howse
Evander Kane,98634,EDM,Evander Kane,Evander Kane
Johan Motin,98862,UFA,Johan Motin,Johan Motin
Jared Cowen,98865,UFA,Jared Cowen,Jared Cowen
Brett Ponich,98867,UFA,Brett Ponich,Brett Ponich
Travis Hamonic,98869,OTT,Travis Hamonic,Travis Hamonic
Landon Ferraro,98871,UFA,Landon Ferraro,Landon Ferraro
Sergei Bobrovsky,98874,FLA,Sergei Bobrovsky,Sergei Bobrovsky
Matt Bartkowski,99056,MIN,Matt Bartkowski,Matt Bartkowski
Jason Gregoire,99059,UFA,Jason Gregoire,Jason Gregoire
Colby Cohen,99061,UFA,Colby Cohen,Colby Cohen
Carter Camper,99066,UFA,Carter Camper,Carter Camper
Cody Eakin,99396,BUF,Cody Eakin,Cody Eakin
Tyson Barrie,99406,CGY,Tyson Barrie,Tyson Barrie
Casey Wellman,99417,UFA,Casey Wellman,Casey Wellman
Max Pacioretty,99420,TOR,Max Pacioretty,Max Pacioretty
Tommy Wingels,99446,UFA,Tommy Wingels,Tommy Wingels
Dan Sexton,99493,UFA,Dan Sexton,Dan Sexton
Patrick White,99498,UFA,Patrick White,Patrick White
Brad Malone,99506,EDM,Brad Malone,Brad Malone
John Carlson,99508,WSH,John Carlson,John Carlson
Matt Read,99530,PHI,Matt Read,Matt Read
Blake Kessel,99552,UFA,Blake Kessel,Blake Kessel
Craig Smith,99554,CHI,Craig Smith,Craig Smith
Greg Pateryn,99569,ANA,Greg Pateryn,Greg Pateryn
Ryan McDonagh,99570,T.B,Ryan McDonagh,Ryan McDonagh
Ben Smith,99635,TOR,Ben Smith,Ben Smith
Kyle Turris,99822,EDM,Kyle Turris,Kyle Turris
Harry Zolnierczyk,99830,UFA,Harry Zolnierczyk,Harry Zolnierczyk
Cam Talbot,100197,DET,Cam Talbot,Cam Talbot
Zac Rinaldo,100339,CLB,Zac Rinaldo,Zac Rinaldo
Matt Hackett,100341,UFA,Matt Hackett,Matt Hackett
Carter Ashton,100351,UFA,Carter Ashton,Carter Ashton
Linden Vey,100352,CGY,Linden Vey,Linden Vey
Roman Josi,100921,NSH,Roman Josi,Roman Josi
Luca Sbisa,100944,NSH,Luca Sbisa,Luca Sbisa
Philip Larsen,101280,VAN,Philip Larsen,Philip Larsen
Yohann Auvitu,101311,UFA,Yohann Auvitu,Yohann Auvitu
Joe Colborne,101538,COR,Joe Colborne,Joe Colborne
Kodie Curran,101547,BOS,Kodie Curran,Kodie Curran
Matt Frattin,101560,UFA,Matt Frattin,Matt Frattin
Carter Rowney,101629,DET,Carter Rowney,Carter Rowney
Allen York,101663,UFA,Allen York,Allen York
Alexander Pechurskiy,101725,UFA,Alexander Pechurskiy,Alexander Pechurskiy
Mike Hoffman,102284,UFA,Mike Hoffman,Mike Hoffman
Jamie Benn,102290,DAL,Jamie Benn,Jamie Benn
Brad Hunt,102337,COL,Brad Hunt,Brad Hunt
Patrick Wiercioch,102405,VAN,Patrick Wiercioch,Patrick Wiercioch
Darcy Kuemper,102649,L.A,Darcy Kuemper,Darcy Kuemper
Mat Bodie,102934,UFA,Mat Bodie,Mat Bodie
Matt Calvert,102995,COL,Matt Calvert,Matt Calvert
Cody Goloubef,103530,DET,Cody Goloubef,Cody Goloubef
Drew LeBlanc,104238,UFA,Drew LeBlanc,Drew LeBlanc
Mikael Backlund,104255,CGY,Mikael Backlund,Mikael Backlund
Fabian Brunnstrom,104356,UFA,Fabian Brunnstrom,Fabian Brunnstrom
Johan Gustafsson,104390,UFA,Johan Gustafsson,Johan Gustafsson
Eddie Lack,104478,N.J,Eddie Lack,Eddie Lack
Mat Clark,104803,UFA,Matt Clark,Matt Clark
Cory Conacher,104827,T.B,Cory Conacher,Cory Conacher
Cameron Gaunce,104925,T.B,Cameron Gaunce,Cameron Gaunce
Brandon Burlon,104993,UFA,Brandon Burlon,Brandon Burlon
Corey Trivino,105000,UFA,Corey Trivino,Corey Trivino
Chris Tanev,105112,TOR,Chris Tanev,Chris Tanev
Ryan O'Reilly,105153,NSH,Ryan O'Reilly,Ryan O'Reilly
Nick Bonino,105377,NYR,Nick Bonino,Nick Bonino
Ian Cole,105381,UTA,Ian Cole,Ian Cole
Tommy Cross,105382,STL,Tommy Cross,Tommy Cross
Scott Darling,105384,UFA,Scott Darling,Scott Darling
Lars Eller,105385,PIT,Lars Eller,Lars Eller
Carl Hagelin,105390,WSH,Carl Hagelin,Carl Hagelin
Simon Hjalmarsson,105392,UFA,Simon Hjalmarsson,Simon Hjalmarsson
Alex Killorn,105394,ANA,Alex Killorn,Alex Killorn
Pat Maroon,105400,CHI,Pat Maroon,Pat Maroon
Maxim Mayorov,105402,UFA,Maxim Mayorov,Maxim Mayorov
Kevin Shattenkirk,105410,BOS,Kevin Shattenkirk,Kevin Shattenkirk
Nichlas Torp,105414,UFA,Nichlas Torp,Nichlas Torp
Justin Vaive,105416,UFA,Justin Vaive,Justin Vaive
James van Riemsdyk,105417,UFA,James van Riemsdyk,James van Riemsdyk
Harri Sateri,105889,UTA,Harri Sateri,Harri Sateri
Tomas Hertl,106132,S.J,Tomáš Hertl,Tomáš Hertl
Dmitry Orlov,106574,CAR,Dmitry Orlov,Dmitry Orlov
Maxim Trunev,106580,UFA,Maxim Trunev,Maxim Trunev
Bogdan Kiselevich,106581,WPG,Bogdan Kiselevich,Bogdan Kiselevich
Jake Allen,106592,N.J,Jake Allen,Jake Allen
Jonathan Marchessault,106595,NSH,Jonathan Marchessault,Jonathan Marchessault
Olivier Roy,106601,UFA,Olivier Roy,Olivier Roy
Gabriel Bourque,106608,WPG,Gabriel Bourque,Gabriel Bourque
Nicolas Deschamps,106622,UFA,Nicolas Deschamps,Nicolas Deschamps
Nicolas Deslauriers,106623,PHI,Nicolas Deslauriers,Nicolas Deslauriers
Simon Despres,106624,ANA,Simon Despres,Simon Despres
Eric Gelinas,106632,UFA,Eric Gelinas,Eric Gelinas
Philippe Paradis,106672,UFA,Philippe Paradis,Philippe Paradis
Charles-Olivier Roussel,106684,UFA,Charles-Olivier Roussel,Charles-Olivier Roussel
David Savard,106685,MTL,David Savard,David Savard
Marco Scandella,106687,UFA,Marco Scandella,Marco Scandella
Mikhail Stefanovich,106690,UFA,Mikhail Stefanovich,Mikhail Stefanovich
Jan Kovar,106713,NYI,Jan Kovar,Jan Kovar
Andy Andreoff,106790,NYI,Andy Andreoff,Andy Andreoff
Taylor Beck,106791,UFA,Taylor Beck,Taylor Beck
Jesse Blacker,106794,UFA,Jesse Blacker,Jesse Blacker
Mikkel Boedker,106795,OTT,Mikkel Boedker,Mikkel Boedker
Ben Chiarot,106801,DET,Ben Chiarot,Ben Chiarot
Kyle Clifford,106802,TOR,Kyle Clifford,Kyle Clifford
Taylor Doherty,106807,UFA,Taylor Doherty,Taylor Doherty
Matt Duchene,106808,DAL,Matt Duchene,Matt Duchene
Marcus Foligno,106815,MIN,Marcus Foligno,Marcus Foligno
Taylor Hall,106818,CHI,Taylor Hall,Taylor Hall
Joey Hishon,106824,UFA,Joey Hishon,Joey Hishon
Peter Holland,106825,CHI,Peter Holland,Peter Holland
Jaroslav Janus,106831,UFA,Jaroslav Janus,Jaroslav Janus
Zack Kassian,106835,UTA,Zack Kassian,Zack Kassian
Michael Latta,106838,UFA,Michael Latta,Michael Latta
Tye McGinn,106846,UFA,Tye McGinn,Tye McGinn
Jordan Szwarz,106866,OTT,Jordan Szwarz,Jordan Szwarz
Brenden Dillon,106892,N.J,Brenden Dillon,Brenden Dillon
Scott Glennie,106900,UFA,Scott Glennie,Scott Glennie
Brayden Schenn,106939,STL,Brayden Schenn,Brayden Schenn
Casey Cizikas,106989,NYI,Casey Cizikas,Casey Cizikas
Ryan Ellis,107049,PHI,Ryan Ellis,Ryan Ellis
Michal Jordan,107050,UFA,Michal Jordan,Michal Jordan
Brett Connolly,107051,UFA,Brett Connolly,Brett Connolly
Tyler Johnson,107053,UFA,Tyler Johnson,Tyler Johnson
Victor Hedman,107121,T.B,Victor Hedman,Victor Hedman
Anton Lander,107124,EDM,Anton Lander,Anton Lander
Tomas Vincour,107163,UFA,Tomas Vincour,Tomas Vincour
Stephane Da Costa,107539,UFA,Stephane Da Costa,Stephane Da Costa
John Moore,107544,ANA,John Moore,John Moore
Terry Broadhurst,107553,UFA,Terry Broadhurst,Terry Broadhurst
Luke Witkowski,107582,STL,Luke Witkowski,Luke Witkowski
Seth Helgeson,107596,UFA,Seth Helgeson,Seth Helgeson
Chris Wideman,107609,MTL,Chris Wideman,Chris Wideman
Matt Donovan,107624,UFA,Matt Donovan,Matt Donovan
Brian Gibbons,107688,CAR,Brian Gibbons,Brian Gibbons
Kevan Miller,108349,BOS,Kevan Miller,Kevan Miller
Colin Wilson,108354,COL,Colin Wilson,Colin Wilson
Nikita Filatov,108670,UFA,Nikita Filatov,Nikita Filatov
Richard Panik,108683,NYI,Richard Panik,Richard Panik
Brad Ross,109102,UFA,Brad Ross,Brad Ross
Jordan Weal,110234,MTL,Jordan Weal,Jordan Weal
Calvin Pickard,110237,EDM,Calvin Pickard,Calvin Pickard
Mark Pysyk,110238,DET,Mark Pysyk,Mark Pysyk
Brendan Shinnimin,110439,UFA,Brendan Shinnimin,Brendan Shinnimin
Alex Chiasson,110877,DET,Alex Chiasson,Alex Chiasson
Mathieu Corbeil-Theriault,110883,UFA,Mathieu Corbeil-Theriault,Mathieu Corbeil-Theriault
Jimmy Hayes,110949,PIT,Jimmy Hayes,Jimmy Hayes
Louis Leblanc,110977,UFA,Louis Leblanc,Louis Leblanc
Steve Moses,111008,UFA,Steve Moses,Steve Moses
Jason Akeson,111604,UFA,Jason Akeson,Jason Akeson
Brendan Ranford,111621,UFA,Brendan Ranford,Brendan Ranford
Quinton Howden,111625,FLA,Quinton Howden,Quinton Howden
Joe Morrow,111627,UFA,Joe Morrow,Joe Morrow
Alexander Petrovic,111629,DAL,Alexander Petrovic,Alexander Petrovic
Frederik Andersen,111711,CAR,Frederik Andersen,Frederik Andersen
Brody Hoffman,112072,UFA,Brody Hoffman,Brody Hoffman
Keith Kinkaid,112140,N.J,Keith Kinkaid,Keith Kinkaid
Dylan Olsen,112346,UFA,Dylan Olsen,Dylan Olsen
Tanner Fritz,112429,NYI,Tanner Fritz,Tanner Fritz
Corban Knight,112457,UFA,Corban Knight,Corban Knight
Brandon Davidson,112477,BUF,Brandon Davidson,Brandon Davidson
Cody Kunyk,112484,UFA,Cody Kunyk,Cody Kunyk
Kevin Connauton,112494,L.A,Kevin Connauton,Kevin Connauton
Daniel Carr,112513,WSH,Daniel Carr,Daniel Carr
Mikko Koskinen,112570,EDM,Mikko Koskinen,Mikko Koskinen
Jere Sallinen,112571,EDM,Jere Sallinen,Jere Sallinen
Teemu Hartikainen,112587,UFA,Teemu Hartikainen,Teemu Hartikainen
Antti Raanta,112590,CAR,Antti Raanta,Antti Raanta
Andrei Loktionov,112618,UFA,Andrei Loktionov,Andrei Loktionov
Evgeny Grachev,112620,UFA,Evgeny Grachev,Evgeny Grachev
Roman Horak,112706,UFA,Roman Horak,Roman Horak
Jacob Josefson,112722,BUF,Jacob Josefson,Jacob Josefson
Jacob Markstrom,112727,CGY,Jacob Markström,Jacob Markström
Niklas Svedberg,112732,UFA,Niklas Svedberg,Niklas Svedberg
Mattias Tedenby,112733,UFA,Mattias Tedenby,Mattias Tedenby
David Ullstrom,112734,UFA,David Ullstrom,David Ullstrom
Erik Karlsson,112742,PIT,Erik Karlsson,Erik Karlsson
Anton Gustafsson,112743,UFA,Anton Gustafsson,Anton Gustafsson
Tim Erixon,112748,CGY,Tim Erixon,Tim Erixon
David Rundblad,112749,UFA,David Rundblad,David Rundblad
Mattias Ekholm,112754,EDM,Mattias Ekholm,Mattias Ekholm
Eric O'Dell,112782,UFA,Eric O'Dell,Eric O'Dell
Brandon Manning,112785,EDM,Brandon Manning,Brandon Manning
Tyler Bunz,112787,UFA,Tyler Bunz,Tyler Bunz
Philipp Grubauer,112814,SEA,Philipp Grubauer,Philipp Grubauer
Fredrik Claesson,112877,T.B,Fredrik Claesson,Fredrik Claesson
Cristopher Nilstorp,112968,UFA,Cristopher Nilstorp,Cristopher Nilstorp
Viktor Fasth,112977,UFA,Viktor Fasth,Viktor Fasth
Justin Schultz,113177,UFA,Justin Schultz,Justin Schultz
Aaron Ness,113811,UTA,Aaron Ness,Aaron Ness
Andre Petersson,113813,UFA,Andre Petersson,Andre Petersson
Cam Atkinson,113815,T.B,Cam Atkinson,Cam Atkinson
Danny Kristo,113816,UFA,Danny Kristo,Danny Kristo
Daultan Leveille,113817,UFA,Daultan Leveille,Daultan Leveille
David Warsofsky,113820,CAR,David Warsofsky,David Warsofsky
Derek Grant,113822,ANA,Derek Grant,Derek Grant
Derek Stepan,113823,CAR,Derek Stepan,Derek Stepan
Dmitri Kugryshev,113824,UFA,Dmitri Kugryshev,Dmitri Kugryshev
Gustav Nyquist,113830,NSH,Gustav Nyquist,Gustav Nyquist
Jake Gardiner,113831,CAR,Jake Gardiner,Jake Gardiner
Jesper Samuelsson,113833,UFA,Jesper Samuelsson,Jesper Samuelsson
Joacim Eriksson,113834,UFA,Joacim Eriksson,Joacim Eriksson
Jonas Holos,113836,UFA,Jonas Holos,Jonas Holos
Mark Borowiecki,113840,NSH,Mark Borowiecki,Mark Borowiecki
Zac Dalpe,113855,FLA,Zac Dalpe,Zac Dalpe
Andrew Hammond,113948,N.J,Andrew Hammond,Andrew Hammond
Curtis McKenzie,114021,STL,Curtis McKenzie,Curtis McKenzie
Max Reinhart,114068,UFA,Max Reinhart,Max Reinhart
Joel Hanley,115211,CGY,Joel Hanley,Joel Hanley
Jeremy Welsh,115240,UFA,Jeremy Welsh,Jeremy Welsh
Brandon Pirri,115241,CHI,Brandon Pirri,Brandon Pirri
Darren Archibald,115481,OTT,Darren Archibald,Darren Archibald
Reilly Smith,115612,NYR,Reilly Smith,Reilly Smith
Ethan Werek,115621,UFA,Ethan Werek,Ethan Werek
Tyler Toffoli,115633,S.J,Tyler Toffoli,Tyler Toffoli
John McFarland,115642,UFA,John McFarland,John McFarland
Tom Kuhnhackl,115809,UFA,Tom Kuhnhackl,Tom Kuhnhackl
Nathan Beaulieu,115887,ANA,Nathan Beaulieu,Nathan Beaulieu
Michael Bournival,115896,UFA,Michael Bournival,Michael Bournival
Michael Chaput,115903,PIT,Michael Chaput,Michael Chaput
Sean Couturier,115908,PHI,Sean Couturier,Sean Couturier
Morgan Ellis,115918,UFA,Morgan Ellis,Morgan Ellis
Jerome Gauthier-Leduc,115922,UFA,Jerome Gauthier-Leduc,Jerome Gauthier-Leduc
Brandon Gormley,115925,UFA,Brandon Gormley,Brandon Gormley
Andrej Nestrasil,115949,CAR,Andrej Nestrasil,Andrej Nestrasil
Logan Shaw,115968,OTT,Logan Shaw,Logan Shaw
Pavel Francouz,115982,COL,Pavel Francouz,Pavel Francouz
Radko Gudas,115984,ANA,Radko Gudas,Radko Gudas
Lukas Radil,115993,S.J,Lukas Radil,Lukas Radil
Sam Carrick,116018,NYR,Sam Carrick,Sam Carrick
Calvin de Haan,116024,COL,Calvin de Haan,Calvin de Haan
Erik Gudbranson,116033,CLB,Erik Gudbranson,Erik Gudbranson
Freddie Hamilton,116035,UFA,Freddie Hamilton,Freddie Hamilton
Jared Knight,116045,UFA,Jared Knight,Jared Knight
Greg McKegg,116058,EDM,Greg McKegg,Greg McKegg
Shane Prince,116069,UFA,Shane Prince,Shane Prince
Tyler Seguin,116079,DAL,Tyler Seguin,Tyler Seguin
Michael Sgarbossa,116080,WSH,Michael Sgarbossa,Michael Sgarbossa
Andrew Shaw,116081,CHI,Andrew Shaw,Andrew Shaw
Jeff Skinner,116085,EDM,Jeff Skinner,Jeff Skinner
Devante Smith-Pelly,116086,WSH,Devante Smith-Pell,Devante Smith-Pelly
Ryan Spooner,116089,UFA,Ryan Spooner,Ryan Spooner
Christian Thomas,116093,UFA,Christian Thomas,Christian Thomas
Mark Visentin,116096,UFA,Mark Visentin,Mark Visentin
Austin Watson,116099,DET,Austin Watson,Austin Watson
Scott Wedgewood,116100,NSH,Scott Wedgewood,Scott Wedgewood
Brendan Gallagher,116134,MTL,Brendan Gallagher,Brendan Gallagher
Dylan McIlrath,116161,WSH,Dylan McIlrath,Dylan McIlrath
Mark Stone,116184,VGK,Mark Stone,Mark Stone
Dmitry Kulikov,116200,FLA,Dmitry Kulikov,Dmitry Kulikov
Brett Bulmer,116362,UFA,Brett Bulmer,Brett Bulmer
J.T. Brown,116461,MIN,J.T. Brown,J.T. Brown
Stanislav Galiev,116489,UFA,Stanislav Galiev,Stanislav Galiev
Troy Grosenick,116498,NSH,Troy Grosenick,Troy Grosenick
Nick Jensen,116513,OTT,Nick Jensen,Nick Jensen
Torey Krug,116521,STL,Torey Krug,Torey Krug
Chad Ruhwedel,116566,NYR,Chad Ruhwedel,Chad Ruhwedel
Philip Samuelsson,116570,UFA,Philip Samuelsson,Philip Samuelsson
Matt Tennyson,116585,NSH,Matt Tennyson,Matt Tennyson
Oliver Lauridsen,116604,UFA,Oliver Lauridsen,Oliver Lauridsen
Bobby Farnham,116620,MTL,Bobby Farnham,Bobby Farnham
Brian Flynn,116630,N.J,Brian Flynn,Brian Flynn
Luke Glendening,116638,T.B,Luke Glendening,Luke Glendening
Justin Florek,116641,UFA,Justin Florek,Justin Florek
Jordan Schroeder,116647,CHI,Jordan Schroeder,Jordan Schroeder
Connor Knapp,116674,UFA,Connor Knapp,Connor Knapp
Jean-Francois Berube,116737,FLA,Jean-Francois Beru,Jean-Francois Berube
Ryan Nugent-Hopkins,117125,EDM,Ryan Nugent-Hopkins,Ryan Nugent-Hopkins
Mats Zuccarello,117131,MIN,Mats Zuccarello,Mats Zuccarello
Jakob Silfverberg,117132,ANA,Jakob Silfverberg,Jakob Silfverberg
Magnus Paajarvi,117142,OTT,Magnus Paajarvi,Magnus Paajarvi
Alexander Burmistrov,117173,VAN,Alexander Burmistr,Alexander Burmistrov
Artemi Panarin,117198,NYR,Artemi Panarin,Artemi Panarin
Maxim Kitsyn,117203,UFA,Maxim Kitsyn,Maxim Kitsyn
Vladimir Tarasenko,117204,DET,Vladimir Tarasenko,Vladimir Tarasenko
Jamie Oleksiak,117317,SEA,Jamie Oleksiak,Jamie Oleksiak
Martin Bakos,117392,BOS,Martin Bakos,Martin Bakos
Michal Kempny,117444,SEA,Michal Kempny,Michal Kempny
Mark McNiell,117532,DAL,Mark McNeill,Mark McNiell
